"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D53,D30,D32,D12,D51,D58,D21,D5,D4,D33,D39,D1,D35,D29,D68,D63,D2,D54,D36,D46,D15,D52,D38,D40,D62,D65,D67,D50,D60,D43,D44,D34,D25,D20,D66,D19,D49,D16,D45,D11,D37,D42,D8,D57,D6,D26,D7,D18,D48,D28,D14,D10,D9,D13,D22,D31,D61,D64,D17,D23,D27,D56,D24,D55,D3,D59,D47,D41";"LED_1655";68;"1655 NeoPixel";;;
2;"C43,C52,C6,C18,C7,C50,C40,C56,C33,C67,C11,C3,C23,C65,C59,C68,C32,C21,C44,C19,C61,C34,C49,C22,C55,C4,C15,C58,C45,C28,C31,C25,C66,C46,C26,C16,C27,C9,C42,C2,C64,C14,C53,C30,C60,C38,C54,C1,C35,C10,C29,C24,C36,C63,C12,C8,C62,C47,C37,C57,C41,C39,C51,C20,C17,C13,C5,C48";"CAPC220145_88N_KEM";68;"C_Small";;;
3;"C70,C69";"RESC3216X125N";2;"C_Small";;;
4;"J1,J2";"SAMTEC_TSM-103-02-L-SH-LC";2;"TSM-103-02-L-SH-LC";;;
5;"3/16 in,3/16 in,3/16 in,3/16 in";"3-16in hole";4;"3/16 in";;;
6;"U2";"TO254P1524X483-4N";1;"LM1084IS-5.0_NOPB";;;
7;"J3";"691709710302";1;"Conn_01x02";;;
